# mass fraction burned - xb
# first column - CAD
# second column - xb1
# third column - xb2
# fourth column - xb3
# 
-1.499999999999999822e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.399999999999999822e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.199999999999999822e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-9.999999999999998224e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-8.999999999999998224e+00	1.249219075419194525e-03	1.562499878371426121e-07	1.953126549381067889e-11
-7.999999999999998224e+00	9.950166250832004344e-03	9.999950000172397324e-06	1.000000005024759275e-08
-6.999999999999999112e+00	3.318682227845726196e-02	1.138997629294147274e-04	3.844335199065795905e-07
-5.999999999999999112e+00	7.688365361336424453e-02	6.397952436836273904e-04	5.119986892787586896e-06
-4.999999999999999112e+00	1.446546726925775905e-01	2.438428441600914987e-03	3.814624506970343276e-05
-3.999999999999999112e+00	2.366205056631469628e-01	7.263492402573845652e-03	1.968106302464578405e-04
-2.999999999999997780e+00	3.486772604862288238e-01	1.821472580154848142e-02	7.878458730569137813e-04
-1.999999999999998002e+00	4.727075759569516755e-01	4.013247611912973412e-02	2.618007026596314013e-03
-9.999999999999982236e-01	5.979786169053452616e-01	7.968350910024524225e-02	7.538250217865694047e-03
0.000000000000000000e+00	7.134952031398098526e-01	1.446546726925774795e-01	1.934175086046141523e-02
1.000000000000001332e+00	8.105727058287343079e-01	2.417987340703871002e-01	4.500928956302585604e-02
2.000000000000002665e+00	8.846748789619376385e-01	3.728440216569480770e-01	9.586533140490272054e-02
3.000000000000000888e+00	9.358319592586000768e-01	5.296080079519493999e-01	1.870771979565671872e-01
4.000000000000002665e+00	9.676130592270930642e-01	6.916408179574036197e-01	3.320460667339082406e-01
5.000000000000000888e+00	9.852829707013648353e-01	8.313256179871877372e-01	5.280333075798334663e-01
6.000000000000001776e+00	9.940239771049941275e-01	9.273018978492463260e-01	7.387238225611498788e-01
7.000000000000000000e+00	9.978477683533923948e-01	9.769823773957565516e-01	9.013492518669850018e-01
8.000000000000001776e+00	9.993176719472436353e-01	9.950798191941664372e-01	9.792291535825291549e-01
9.000000000000003553e+00	9.998109974403737166e-01	9.993579978505647832e-01	9.981682694390174859e-01
1.000000000000000178e+01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.100000000000000355e+01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.200000000000000178e+01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.300000000000000178e+01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.400000000000000000e+01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
